Band,Song,Player,Technique,Difficulty,Score
Razor,Out of the Game,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,4/8
Motley Crue,Crash And Burn,,['Overdriven Guitar'],Intermediate,3/8
Kat,Diabelski Dom cz.2 - c#,Solo,['Distortion Guitar'],Intermediate,3/8
Guns N' Roses,Sweet Child O' Mine Solo in C#/Db,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,4/8
Ripping Corpse,Dreaming With the Dead,,"['Distortion Guitar', 'Rythm Guitar']",Intermediate,3/8
Razor,Violent Restitution,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Razor,Taste the Floor,,"['Distortion Guitar', 'Lead Guitar']",Advanced,6/8
Orcophagous,Aftermath,,"['Distortion Guitar', 'Guitar M/L']",Advanced,6/8
Damaged,Dreggs,,['Distortion Guitar'],Intermediate,3/8
Orcophagous,Hope,,"['Acoustic Guitar (steel)', 'Clean Guitar ']",Intermediate,3/8
Viola,dadadada,Ýz 3,['Acoustic Guitar (nylon)'],Intermediate,3/8
Orcophagous,Nothing In Vain,,"['Electric Guitar (clean)', 'Guitar (clean 1)']",Intermediate,5/8
Muth,paolo is bald,Corey 2,['Distortion Guitar'],Intermediate,4/8
A Perfect Circle,Judit,,['Overdriven Guitar'],Intermediate,3/8
Pantera,You've Got to Belong to It,Extra,['Distortion Guitar'],Intermediate,5/8
Eldalie,Madness Void,Track 1,['Distortion Guitar'],Intermediate,3/8
Katalizator,Diobolska Doma uno,Piotr Luczyk,['Distortion Guitar'],Intermediate,3/8
Continuous Atrocities Against The Condemned Species For The Purpose Of Self-Preservation From The Inevitable Consequences Of Playing God Infront The Sights Of Nature And Existance,Continuous Attrocities,,"['Distortion Guitar', 'Lead Guitar']",Advanced,8/8
Carcass,Heartwork c# tuning,Overdub,['Distortion Guitar'],Intermediate,4/8
My Own Living Nightmare,Lost,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,3/8
Alter Bridge,Home,8 (Solo) (Tune Down 1 1/2 Steps) ,['Distortion Guitar'],Advanced,7/8
Ambivalenz,Halley,A-Gitarre,['Acoustic Guitar (steel)'],Intermediate,3/8
Final Girl,1 Romance,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,4/8
Wiśniak,Alergia,Utwór 1,['Distortion Guitar'],Intermediate,3/8
Face Of Death,Fuck You,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,3/8
Ambivalenz,Stille Wasser,E-Gitarre Rhythmus,['Distortion Guitar'],Intermediate,3/8
Quintuplet Meditation,Tim Henson,Rythm,['Acoustic Guitar (nylon)'],Intermediate,5/8
Bolt Thrower,Profane Creation,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,4/8
Śląsk Wrocław,hymn kibiców,,"['Distortion Guitar', 'Guitarra uno']",Intermediate,3/8
Bolt Thrower,Destructive Infinity,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Bolt Thrower,Dying Creed,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,5/8
Bolt Thrower,Embers,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,5/8
Bolt Thrower,Final Revelation,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Ambivalenz,Am Ende doch allein,E-Gitarre 3,['Distortion Guitar'],Intermediate,3/8
Skeletorus,Anti Human,,['Overdriven Guitar'],Intermediate,3/8
Bolt Thrower,Celestial Sanctuary,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Alloytuber,Moody,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Ambivalenz,Damals,Gitarre 2 Rhythmus,['Acoustic Guitar (steel)'],Intermediate,3/8
Hellbroken,Intercession Side 4,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,5/8
Hellbroken,Intercession Side 3,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,5/8
Hellbroken,Intercession Side 2,,"['Distortion Guitar', 'Rythym Guitar']",Advanced,6/8
Hellbroken,Intercession Side 1,,"['Distortion Guitar', 'Rythym Guitar']",Advanced,6/8
Orcophagous,Misconception,,"['Acoustic Guitar (nylon)', 'Guitar (Clean 1)']",Intermediate,4/8
Out Of Memory,Nem Akarok,,['Overdriven Guitar'],Intermediate,3/8
Between The Buried And Me,Revolution In Limbo,Track 2,['Acoustic Guitar (steel)'],Intermediate,4/8
Between The Buried And Me,Revolution in Limbo,Track 2,['Acoustic Guitar (steel)'],Intermediate,4/8
Face Of Death,D. E. A. D.,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,3/8
Menel,fajne,Utwór 3,['Distortion Guitar'],Intermediate,3/8
Hellbroken,Whores N Gores Part 2,Piste 3,['Distortion Guitar'],Intermediate,5/8
Orcophagous,Rites For The Fallen,,"['Distortion Guitar', 'Guitar M/L']",Advanced,6/8
Face Of Death,Wall Of Hatred,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,3/8
Wojti,piosenka nowa,Track 1,['Distortion Guitar'],Intermediate,3/8
Skeletorus,Sun,Lead,['Distortion Guitar'],Intermediate,3/8
Orcophagous,Repent,,"['Distortion Guitar', 'Guitar M/L']",Intermediate,5/8
Orcophagous,Denying Submission,,"['Distortion Guitar', 'Guitar M/L']",Intermediate,4/8
Efe Karatoprak,Hardcore Song #10,,['Distortion Guitar 1'],Intermediate,3/8
Damaged,Passive Backseat Demon Engines,,['Distortion Guitar'],Intermediate,3/8
Gksguitar,Driven up the Wall,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
October Tide,Nursed By The Cold,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Zahariasz,ladne muzyki,Track 1,['Distortion Guitar'],Intermediate,3/8
Face Of Death,Kill The Divine,,"['Distortion Guitar', 'Rythym Guitar']",Beginner,2/8
Zahir,now chyba cos,Track 3,['Distortion Guitar'],Intermediate,3/8
Zenith,drowner - solo,Track 1,['Distortion Guitar'],Intermediate,3/8
Withering Remains,soluwa cumguts2,Utwór 3,['Distortion Guitar'],Intermediate,3/8
Efe Karatoprak,Grindcore Song #2,,['Distortion Guitar'],Intermediate,4/8
Bryttania,Gone too long,Track 2,['Distortion Guitar'],Intermediate,3/8
Orcophagous,Demolition Machinery,,['Electric Guitar (clean)'],Advanced,8/8
Orcophagous,Crumbling Deceit,,"['Distortion Guitar', 'Guitar M/L']",Intermediate,3/8
Ningen Isu,Heartless Scat ,Solo Rythm,['Distortion Guitar'],Intermediate,3/8
Vale Of Pnath,Sightless,Mikey,['Distortion Guitar'],Intermediate,5/8
Vale Of Pnath,Mental Crucifixion,Mikey,['Overdriven Guitar'],Intermediate,5/8
Muth,EQ Cheatsheet - The Only EQ Chart You'll Ever Need for Your Mix,,"['Distortion Guitar', 'Guitar (Lead)']",Intermediate,3/8
"Ju-87 ""Stuka"" (Last Battle In Alps)","ju-87 ""stuka"" ",Track 4,['Distortion Guitar'],Intermediate,3/8
Doomswagger,Broken Mirrors,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Face Of Death,The Fall,,"['Electric Guitar (clean)', 'Acoustic Rythym Guitar']",Advanced,8/8
All Hallow's Evil,Something More,Gtr II,['Distortion Guitar'],Intermediate,3/8
All Hallow's Evil,All Angels Fall,Gtr I,['Distortion Guitar'],Beginner,2/8
All Hallow's Evil,Completely Fucking Lost,Gtr I,['Distortion Guitar'],Beginner,2/8
All Hallow's Evil,By the Grace of God,Gtr II,['Distortion Guitar'],Beginner,2/8
Kirpich,Arab,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,4/8
Wiśniak,besss,Utwór 1,['Distortion Guitar'],Intermediate,3/8
Sarin Reaper,N.G.D.M.,,['Distortion Guitar'],Intermediate,4/8
Mushmellow,Loser ,Track 7,['Electric Guitar (jazz)'],Intermediate,3/8
The Warning,ERROR,,"['Distortion Guitar', 'Daniela Villarreal (Main Guitar)']",Beginner,2/8
Majör Adamlar (Sufi),Avareyim,Ýz 6,['Distortion Guitar'],Intermediate,5/8
Gojira,The Axe ,Joe Duplantier,['Distortion Guitar'],Intermediate,4/8
Jojoba,Рандом Риф 55,Track 1,['Distortion Guitar'],Intermediate,3/8
Vlad I Vadim,Kto kogo,Vestnik smerti,['Distortion Guitar'],Intermediate,3/8
Skull Devil,solo b 2,,['Distortion Guitar'],Intermediate,4/8
Vlad I Vadim,Ne Xotim,Vestnik smerti,['Distortion Guitar'],Beginner,2/8
Skull Devil,base solo b,,['Distortion Guitar'],Intermediate,4/8
Phantom Band,Empty Planet,Clean R,['Acoustic Guitar (nylon)'],Beginner,2/8
Jojoba,Рандом Риф 54,Track 1,['Distortion Guitar'],Intermediate,4/8
Death Of Shit,78,Track 1,['Distortion Guitar'],Intermediate,4/8
Jojoba,Рандом Риф 53,Track 1,['Distortion Guitar'],Beginner,2/8
Vlad I Vadim,torero,Terentev,['Distortion Guitar'],Intermediate,3/8
Montreal,Das falsche Pferd,,['Overdriven Guitar 1'],Beginner,2/8
Vlad I Vadim,Beregis,Vestnik Smerti,['Distortion Guitar'],Intermediate,3/8
Vlad I Vadim,schit i mech,Гитара 2,['Distortion Guitar'],Intermediate,3/8
Scythelord,Rod Of Asclepius ,,"['Distortion Guitar', 'Rhythm Guitar (Right)']",Intermediate,3/8
Gojira,Grind,,['Distortion Guitar'],Advanced,6/8
purple_rose,J Pop Bridge Guitar,Kontakt #3 1,['Overdriven Guitar'],Beginner,2/8
Hellbroken,Lifetime Flashback,,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
The Ocean Collective,Devonian: Nascent,,"['Overdriven Guitar', 'Guitar 1 Dist B']",Beginner,2/8
B453,b5346,Track 1,['Electric Guitar (jazz)'],Beginner,2/8
Bear Mccreary,Black Sails Theme,,['Distortion Guitar'],Beginner,2/8
Hmkids,Fulgrim,Track 3,['Acoustic Guitar (nylon)'],Beginner,2/8
Converge,Conduit,,['Distortion Guitar 2'],Intermediate,5/8
Lithium,Rosemary Kennedy Will Get Her Brain Back,Tom,['Acoustic Guitar (steel)'],Beginner,2/8
Pantera,Floods Solo ,,"['Distortion Guitar', 'Guitar 4 (solo)']",Intermediate,4/8
Stone Wings,Glass Ants,David,['Acoustic Guitar (steel)'],Beginner,2/8
Fearfounder,Intro,,"['Acoustic Guitar (nylon)', 'Nylon Guitar 3']",Beginner,2/8
Ty Hendri,Medieval Song,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
Hellbroken,Perfection... Deception,Bridge,['Electric Guitar (clean)'],Intermediate,3/8
Purple Haze,riff85,Track 4,['Acoustic Guitar (steel)'],Advanced,8/8
HammerFall, Sweden Rock,Pontus,['Distortion Guitar'],Beginner,2/8
Edge Of Reality,Song 3,,"['Acoustic Guitar (nylon)', 'Nylon Guitar 2']",Beginner,2/8
Metallica,Fuel ,Kirk Hammett (Rhythm),['Distortion Guitar'],Intermediate,3/8
Hellbroken,Education,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,4/8
Kirpich,Vile,,['Distortion Guitar 1'],Intermediate,4/8
Gojira,Only Pain 2,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Order Of Sin( Best Band In Universe),koc 2,rythm,['Distortion Guitar'],Beginner,2/8
Halloween Night,Alone In The Dark Cover,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Face Of Death,Burnt To The Cross,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
