Band,Song,Player,Technique,Difficulty,Score
Feared,Hate Mantra,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
A Slient Suffering,SONG 1,Clean,['Electric Guitar (jazz)'],Beginner,1/8
Tweaker,DOOM 3 Main Theme,,"['Distortion Guitar', 'Guitar 02']",Beginner,2/8
Unnamed,test 2,Track 1,['Distortion Guitar'],Beginner,2/8
The Faceless,Autotheist Movement Iii: Deconsecrate,Michael Keene,['Distortion Guitar'],Advanced,6/8
Bring Me The Horizon,Don't Look Down ,,['Distortion Guitar'],Beginner,2/8
Efe Karatoprak,Pain,,['Distortion Guitar'],Beginner,2/8
Spriggans,Warden,Track 2,['Distortion Guitar'],Intermediate,4/8
End The Sorrow,Blinded by Lies,,['Distortion Guitar'],Advanced,8/8
Set To Stun,Blackest Night,,"['Acoustic Guitar (steel) 1', 'Steel Guitar']",Beginner,2/8
We Butter The Bread With Butter,Backe Backe Kuchen,Spur 1,['Distortion Guitar'],Intermediate,3/8
Famous Last Words,Searching For Home,,"['Distortion Guitar', 'lead guitar']",Intermediate,3/8
Test,Testing tab,outro,['Distortion Guitar'],Advanced,8/8
Linkin Park,Test,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Slaver (Test),She - firefly of my humanity...,Track 6,['Distortion Guitar'],Beginner,2/8
Rage,Twenty One,,['Distortion Guitar 1'],Intermediate,5/8
Rage,Virginity,,['Distortion Guitar 2'],Intermediate,4/8
Asking Alexandria,A Lesson Never Learned,Ben Bruce,['Distortion Guitar'],Intermediate,4/8
Judson,Foyrrew,Track 1,['Distortion Guitar 1'],Beginner,2/8
Doom:Vs,The Light That Would Fade,GTR Overd,['Overdriven Guitar'],Beginner,2/8
Doom:Vs,The Light That Would Fade,GTR Clean,['Electric Guitar (clean)'],Beginner,2/8
Tomaco,Zirconium Tants,Track 1,['Distortion Guitar'],Intermediate,4/8
Gazette,Last Heaven,,"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,4/8
Hatebreed,To The Threshold,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
End The Sorrow,Dying Soul,,"['Distortion Guitar', 'Lukas Guitar']",Intermediate,4/8
End The Sorrow,DS solo,,['Distortion Guitar 1'],Beginner,2/8
Lxb,Clovermaid,Track 1,['Distortion Guitar'],Intermediate,4/8
Otherwise,Vegas Girl,Ryan Patrick (Lead),['Distortion Guitar'],Intermediate,3/8
Lxb,Evil Woods,Track 1,['Distortion Guitar'],Beginner,2/8
Lxb,Fear And Flight,Track 1,['Distortion Guitar'],Intermediate,4/8
Lumen,Fisting,Гарик (основа),['Electric Guitar (clean)'],Intermediate,3/8
Viridescent,Drive,Rhythm,['Distortion Guitar'],Beginner,2/8
Menel,Nowa Autopsja,Utwór 4,['Distortion Guitar'],Beginner,2/8
Hellkite Drake,Abysswalker,,['Distortion Guitar'],Beginner,2/8
Efe Karatoprak,Suicidal Song,,['Overdriven Guitar'],Beginner,2/8
Electriccover,STG ,Korey Cooper Lead Gtr,['Distortion Guitar'],Beginner,2/8
System of a Down,Ddevil,Track 1,['Distortion Guitar'],Intermediate,4/8
Efe Karatoprak,Hardcore Song #26,,['Distortion Guitar'],Intermediate,3/8
Mama Zabey,new crushhh,,['Distortion Guitar'],Beginner,2/8
Deftones,Anniversary Of An Uninteresting Event,,"['Electric Guitar (clean)', 'Guitar (Stephen Carpenter)']",Beginner,2/8
Arch Enemy,Intermezzo Liberte - Drop C,Acoustic Rhythm,['Acoustic Guitar (steel)'],Beginner,2/8
Brooke,PEEPEEPOOPOO FINISHED,Lead,['Distortion Guitar'],Beginner,2/8
Brooke,peepeepoopoo,Rhythm,['Distortion Guitar'],Beginner,2/8
Stereomud,pain,Pista 3,['Distortion Guitar'],Intermediate,3/8
Utsu-P,Shit,Rhythm Alt,['Distortion Guitar'],Intermediate,3/8
Deftones,Rx Queen,,"['Distortion Guitar', 'Add. Guitar 2']",Beginner,2/8
Asdasdasd,sdashrt,Track 1,['Distortion Guitar'],Beginner,2/8
Deftones,Back to School,Chino,['Distortion Guitar'],Beginner,2/8
Deftones,The Boys Republic,,"['Distortion Guitar', 'Guitar']",Beginner,2/8
Deftones,Korea,Stef Carpenter,"['Guitar', 'Distortion Guitar 2']",Beginner,2/8
World War Me,That's So Yesterday,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
August Burns Red,Back Burner,,"['Distortion Guitar', 'Brent Rambler Guitar']",Intermediate,3/8
Deftones,Back To School ,Stephen,['Distortion Guitar'],Beginner,2/8
Deftones,Pink Maggit,Stephen Carpenter,['Overdriven Guitar'],Beginner,2/8
Deftones,Feiticeira,Stephen Carpenter,['Distortion Guitar 2'],Beginner,2/8
Sleeping With Sirens,If You Can't Hang,,"['Distortion Guitar', 'Extra Guitar']",Beginner,2/8
System of a Down,Chic 'N' Stu,Daron Malakian,['Electric Guitar (clean)'],Beginner,2/8
Dd,dd shooting star fix,Track 3,['Distortion Guitar 2'],Beginner,2/8
Dd,dd shooting star,Track 3,['Distortion Guitar 1'],Beginner,2/8
Electriccover,STG ,Seth Morrison,['Overdriven Guitar'],Beginner,2/8
Steal The Universe,Ashes,Harmonies,['Distortion Guitar'],Intermediate,4/8
Steal The Universe,Ashes,Clean Gtr,['Electric Guitar (clean)'],Intermediate,4/8
Steal The Universe,Ashes,Rythm L,['Distortion Guitar'],Intermediate,3/8
Deftones,Change ,Chino Moreno,"['Overdrive Guitar', 'Overdriven Guitar']",Beginner,2/8
Makari,Melt,OD GUITAR 2,['Overdriven Guitar'],Intermediate,3/8
2pac,Changes ,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
Steal The Universe,Heavy Hearts,Chorus Lead L,['Distortion Guitar'],Advanced,7/8
System of a Down,Sugar,Daron Malakian,['Distortion Guitar'],Beginner,2/8
Tomaco,KoTal,Track 2,['Distortion Guitar'],Intermediate,3/8
Mama Zabey,new crush,,['Distortion Guitar'],Beginner,2/8
Xxx,x,,['Distortion Guitar'],Beginner,2/8
Mmzby,n e w c r u s h,,['Distortion Guitar'],Beginner,2/8
Elder,One Light Retreating,,"['Overdriven Guitar', 'Lead guitar']",Intermediate,5/8
Elder,White Walls,Solo,['Distortion Guitar'],Intermediate,4/8
Elder,Staving Off Truth,Lead,['Distortion Guitar'],Intermediate,4/8
Elder,Omens,,"['Electric Guitar (clean)', 'Guitar clean']",Intermediate,3/8
Elder,Compendium,Lead,['Distortion Guitar'],Intermediate,5/8
Slippy,Hasta La Vista,,['Distortion Guitar'],Intermediate,3/8
Big Business,Grounds For Divorce,Spur 2,['Distortion Guitar'],Intermediate,3/8
Diffraction,Leave Me Here,Junior,['Electric Guitar (clean)'],Intermediate,3/8
Dogma Killing Karma,Erythorbic,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Jared Griggs Music,Ion,Track 4,['Electric Guitar (jazz)'],Intermediate,3/8
Millionaire,We Don't Live There Anymore,,['Overdriven Guitar'],Intermediate,3/8
Wizard Whitebeard,Oomak Duke Of Pain,,['Acoustic Guitar (steel)'],Intermediate,3/8
Shinedown,I Own You,,"['Acoustic Guitar (steel)', 'Bass Guitar']",Beginner,1/8
Escapist,Hive Mind ,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Fanatic Control,Breaking Day And Night,Karim,['Acoustic Guitar (steel)'],Intermediate,3/8
Children Of Bodom,Ugly ,,['Acoustic Guitar (steel)'],Intermediate,4/8
Sleeping With Sirens,All My Heart,,['Acoustic Guitar (steel)'],Beginner,1/8
The Air I Breathe,Here's To Letting Go,Colin,['Acoustic Guitar (steel)'],Intermediate,3/8
Born Of Osiris,Now Arise,David Darocha,['Acoustic Guitar (steel)'],Intermediate,4/8
Belphegor,In Blood - Devour This Sanctity ,Pista 5,['Distortion Guitar'],Beginner,2/8
Denailler,Fatality ,Track 2,['Acoustic Guitar (nylon)'],Intermediate,3/8
Bait,Sermon,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Escape The Fate,"Live Fast, Die Beautiful",,['Overdriven Guitar'],Beginner,1/8
Converge,Sadness Comes Home,,['Overdriven Guitar'],Beginner,1/8
Coralies,Mi Valor Contra Medusa,El Pela,['Overdriven Guitar'],Intermediate,3/8
Deathember,Unending Thirst,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Deathember,Quietly,Track 4 (muted),['Acoustic Guitar (steel)'],Intermediate,3/8
Lower Than Atlantis,Here We Go,,['Overdriven Guitar'],Beginner,2/8
Ntm,K53,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Marmozets,Weird And Wonderful ,,['Distortion Guitar'],Beginner,1/8
Secret And Whisper,You Are Familiar,Jordan Chase,['Distortion Guitar'],Beginner,2/8
Ayreon,Side Effects,,['Acoustic Guitar (steel)'],Beginner,1/8
Black Bomb A,You Got The Power,,['Distortion Guitar'],Beginner,1/8
Destrage,Backdoor Epoque,Gabriel,['Acoustic Guitar (steel)'],Advanced,8/8
Red Fang,Doen,Piste 2,['Overdriven Guitar'],Intermediate,4/8
Red Fang,Throw Up,,['Overdriven Guitar'],Beginner,2/8
Poison The Well,A The View From Here Is B A Brick Wall,,['Overdriven Guitar'],Beginner,1/8
Motorhead,Sword Of Glory,Lemmy Kilmister,['Overdriven Guitar'],Beginner,2/8
Atreyu,Deanne The Arsonist,,['Acoustic Guitar (nylon)'],Beginner,1/8
Most Precious Blood,So Typical My Heart,Track 4,['Acoustic Guitar (nylon)'],Intermediate,3/8
The Rape Of Lucrece,Obituary Of The Fallen,Marvin,['Acoustic Guitar (nylon)'],Intermediate,3/8
Six Feet Under,Bringer Of Blood,,['Overdriven Guitar'],Beginner,1/8
Converge,Heartache,,['Distortion Guitar'],Beginner,1/8
Dream Evil,Falling,,"['Overdriven Guitar', 'Bass Guitar']",Intermediate,3/8
Before Their Eyes,Nighttime Is Our Time,,['Distortion Guitar'],Beginner,1/8
Regurgitate,To Boil A Corpse,,['Distortion Guitar'],Intermediate,4/8
He Is Legend,Widow Of Magnolia,Track 3,['Acoustic Guitar (steel)'],Intermediate,4/8
Mortal Treason,Best Case Scenario,,['Acoustic Guitar (steel)'],Intermediate,3/8
Scars Of Life,Lemon,Spoor 4,['Acoustic Guitar (steel)'],Intermediate,3/8
Young Guns,Winter Kiss,,['Acoustic Guitar (steel)'],Beginner,1/8
The Air I Breathe,Take This To Heart,Colin,['Acoustic Guitar (steel)'],Intermediate,3/8
The Whoabots,Shadow Boy,,['Electric Guitar (muted) 11'],Intermediate,3/8
Gilang,Fiction,,['Distortion Guitar'],Intermediate,3/8
Waldgeflüster,Graustufen Novembertage,,['Acoustic Guitar (steel)'],Intermediate,3/8
Novelists,Heal The Wound,,['Distortion Guitar'],Beginner,2/8
Vete A La Versh,Perra El Musical,El Bombo,['Acoustic Guitar (steel)'],Beginner,1/8
Member 8,Amnesia,Track 8,['Distortion Guitar'],Intermediate,3/8
Member 8,Amnesia 5 string bass version,Track 8,['Distortion Guitar'],Intermediate,3/8
Eye Of Violence,Living In The Shadow,音軌 3,['Acoustic Guitar (steel)'],Advanced,8/8
Blessthefall666,ASDASD,Track 3,['Distortion Guitar'],Intermediate,3/8
Chuck You Farlie!,New Song Idea,Track 5,['Distortion Guitar'],Intermediate,3/8
Vluzkisha,Durphurb,Track 4,['Overdriven Guitar'],Intermediate,4/8
Sündr,Some Say,KIRK,['Acoustic Guitar (steel)'],Beginner,2/8
Hate Crew,WSS,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Archívum,Lázadó vagy bírka,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Balhé,Jövőkép,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
August Burns Red,Meridian Ver.2,,['Acoustic Guitar (steel)'],Beginner,2/8
Unghenimetal2k20,ProgresiveMetal,Track 4,['Acoustic Guitar (steel)'],Advanced,8/8
Noneimbl,testv2song,,['Acoustic Guitar (nylon)'],Advanced,8/8
Cerdo Gonorreico,esmegma con sangre,,['Distortion Guitar'],Intermediate,4/8
Alloytuber,Celntros,,['Distortion Guitar'],Intermediate,3/8
Marius&Mishusong,UngheniMetal,,['Acoustic Guitar (steel)'],Advanced,8/8
Marius&Mishusong2,UngheniMetal,,['Acoustic Guitar (steel)'],Advanced,8/8
Sum 41,A Murder Of Crows,,['Distortion Guitar'],Intermediate,3/8
The Air I Breathe,Deliverance,Colin,['Acoustic Guitar (steel)'],Intermediate,3/8
Agalloch,Not Unlike The Waves,,"['Electric Guitar (clean)', 'Acoustic Guitar (steel)']",Intermediate,3/8
Lucydream,Shining Knight,,"['Overdriven Guitar', 'Bass Guitar']",Intermediate,4/8
Slaver (Test),She - firefly of my humanity...,Track 3,['Electric Guitar (clean)'],Intermediate,3/8
Crimes Against The Crown,Below The Hill,bASS,['Electric Guitar (clean)'],Beginner,2/8
Hizaki Grace Project,Race Wish,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Paramore,Crushcrushcrush,,"['Overdriven Guitar', 'Rhythm Guitar (Josh Farro)']",Beginner,2/8
69 Eyes,Stolen Season,,"['Acoustic Guitar (steel)', 'Clean Guitar']",Beginner,2/8
10 Years,Half Life,,"['Distortion Guitar', 'guitar2']",Beginner,1/8
12 Stones,Crash,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,1/8
Beatsteaks,Mirrored,,"['Overdriven Guitar', 'Guitar 1(Lead)']",Intermediate,3/8
Blackmail,Evon,,"['Overdriven Guitar', 'Guitar 1 ']",Intermediate,3/8
Booxras,Path Of Fire,Track 1,['Distortion Guitar'],Intermediate,4/8
Booxras,Beyond Faith,,['Acoustic Guitar (steel)'],Intermediate,3/8
Brand New,The Shower Scene,Jesse,['Distortion Guitar'],Beginner,2/8
Brand New,Me vs. Maradona vs. Elvis,,"['Overdriven Guitar', 'Rythmn Guitar']",Beginner,2/8
Coheed And Cambria,Always And Never,Claudio,['Acoustic Guitar (nylon)'],Intermediate,3/8
Colour Of Fire,The Exile,,"['Overdriven Guitar', 'Guitare Owen']",Intermediate,3/8
Composers of MSB,Lex Talionis,Track 4,['Acoustic Guitar (steel)'],Intermediate,3/8
Composers of MSB,Dark Angel,shaun,['Distortion Guitar'],Intermediate,3/8
Dredg,Ode To The Sun,,"['Distortion Guitar', 'Distored Guitar 2']",Intermediate,3/8
Exterio,Bonhomme 7h,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Fake,Hedfuc,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
Fake,Chemical In Me,,"['Distortion Guitar', 'Guitar II']",Beginner,1/8
Fake,Further Away,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Fake,Taste Maximum,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
Fake,Larva,,"['Acoustic Guitar (steel)', 'Guitar I']",Intermediate,3/8
Fake,Static,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Finch,New Beginnings,,"['Distortion Guitar', 'Guitare 1']",Beginner,2/8
Finch,Post Script,,"['Distortion Guitar', 'Guitare 2']",Intermediate,3/8
Future Lost,Waves,Xero,['Distortion Guitar'],Intermediate,3/8
Future Lost,Demo 2,Xero,['Distortion Guitar'],Intermediate,3/8
Future Lost,Game,Xero,['Distortion Guitar'],Intermediate,3/8
Nick Funyak,Down,Track 2,['Distortion Guitar'],Intermediate,3/8
Nick Funyak,All In The End,,['Electric Guitar (clean)'],Intermediate,3/8
Good Charlotte,Riot girl,,"['Distortion Guitar', 'guitar 2']",Beginner,2/8
Heavy Competition 10,Rising Up,,"['Distortion Guitar', 'guitar1']",Intermediate,3/8
Hirvituho,Hirvisinfonia,Track 1,['Distortion Guitar'],Intermediate,4/8
Gary Hoey,Wipe Out,gtr 3,['Overdriven Guitar'],Beginner,2/8
Hoobastank,Lucky,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Hoobastank,Let It Out,,"['Distortion Guitar', 'Guitar 3']",Intermediate,3/8
Hoobastank,Escape,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Home Town Hero,Questions,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Jimmy Eat World,Work,Track 3,['Distortion Guitar'],Beginner,2/8
Kingston Wall,Istwan,Raita 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Kyuss,Space Cadet,,"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,3/8
Local H,Cynic,,"['Overdriven Guitar 1', 'Guitar']",Intermediate,4/8
Los Hermanos,Ultimo Romance,Marcelo,['Overdriven Guitar'],Beginner,2/8
MustaineRules,Betrayed,Rythm,['Distortion Guitar 1'],Intermediate,3/8
My Downfall,Wake Up,,['Distortion Guitar'],Intermediate,3/8
Nickelback,Just For,,"['Electric Guitar (muted)', 'Guitar(mute)']",Beginner,2/8
Nirvana,Something In The Way ,,"['Acoustic Guitar (steel)', 'Guitare 1']",Beginner,2/8
No Glory No Balls,Whiplash,Elec. Gtr. 2,['Distortion Guitar'],Intermediate,3/8
Orgy,Eva ,Ryan,['Distortion Guitar'],Beginner,1/8
Orgy,Eva ,Ryan,['Distortion Guitar'],Intermediate,3/8
Population 1,High,Piste 5,['Overdriven Guitar'],Intermediate,3/8
Presidents Of The United States Of America,Tiki God,,"['Acoustic Guitar (steel)', 'Guitar 4']",Intermediate,3/8
Puddle Of Mudd,Out Of My Head,,"['Overdriven Guitar', 'Guitar 1']",Beginner,1/8
Sads,Because,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Sads,Metal Fur,,"['Distortion Guitar', 'Guitar I']",Beginner,2/8
Sads,See A Pink Thin Cellophane,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Sads,Porno Star,,"['Distortion Guitar', 'Guitar II']",Beginner,2/8
Sads,Darkness Is My Spiral Mind,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Sads,Nancy,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Sads,Hello,,"['Distortion Guitar', 'Guitar II']",Intermediate,3/8
Seether,Truth,Shaun,['Distortion Guitar'],Beginner,2/8
Seether,Never Leave,,"['Electric Guitar (clean)', 'Guitar #1']",Beginner,2/8
Seether,Plastic Man,,['Acoustic Guitar (steel)'],Beginner,2/8
Sum 41,Moron,Brownsound,['Distortion Guitar'],Intermediate,3/8
Singlethreat,Lost,Chris (Clean),['Electric Guitar (jazz)'],Intermediate,3/8
Singlethreat,The Rise And Fall,Chris (Overdub Harmony),['Distortion Guitar'],Intermediate,3/8
Singlethreat,To Divide And Conquer,Craig (Dist),['Distortion Guitar'],Intermediate,3/8
Singlethreat,Nothing Left,Craig (Clean),['Electric Guitar (jazz)'],Intermediate,4/8
Staind,Price To Play,Track 2,['Distortion Guitar'],Beginner,2/8
Throttlerod,Whistlin' Dixie,,['Distortion Guitar'],Intermediate,4/8
Farin Urlaub,Augenblick,2. Gitarre,['Overdriven Guitar'],Intermediate,3/8
Wednesday 13,God Is A Lie,RYTHEM GUITAR,['Distortion Guitar'],Beginner,2/8
X-Ecutioners,It's Going Down,,"['Distortion Guitar', 'Guitar Dist']",Intermediate,3/8
X-Marika,Hamro Nepal,,"['Acoustic Guitar (steel)', 'Guitar 2']",Beginner,1/8
X-Marika,Yo Hamro Nepal,,"['Acoustic Guitar (steel)', 'Guitar 2']",Intermediate,3/8
Akira Yamaoka,Alone In The Town,,['Electric Guitar (clean)'],Beginner,1/8
Brand New,Secondary,Vinnie,['Distortion Guitar'],Intermediate,4/8
Brand New,Logan To Government Center,,['Electric Guitar (clean) 2'],Intermediate,3/8
Course Of Nature,Wall Of Shame,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Dir En Grey,Child Prey,Die,['Overdriven Guitar'],Beginner,2/8
Dir En Grey,The III D Empire,Kaoru,['Distortion Guitar'],Beginner,2/8
Ronnie James Dio,Shivers,Craig Goldy,['Overdriven Guitar'],Beginner,2/8
Dashboard Confessional,Saints And Sailors,lira,['Acoustic Guitar (steel)'],Intermediate,3/8
The Early November,The Baby Blue,Overdub,['Distortion Guitar'],Intermediate,3/8
Evanescence,My Last Breath,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
Future Lost,Waste,Xero,['Distortion Guitar'],Intermediate,3/8
Finch,Bury Me,Melodie,['Acoustic Guitar (steel)'],Intermediate,3/8
Finch,What It Is To Burn,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Finch,Worms From The Earth,Telecaster,['Overdriven Guitar'],Intermediate,3/8
Finch,Three Simple Words,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Guano Apes,You Can't Stop Me,Spur 1,['Distortion Guitar'],Intermediate,3/8
Hoobastank,From The Heart,,"['Acoustic Guitar (steel)', 'Dan Estrin (2°Guitar)']",Intermediate,4/8
JHGuitar Freak,Metal Assault,Rythm,['Distortion Guitar'],Intermediate,3/8
Matchbook Romance,Shadows Like Statues,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Poison,Body Talk,,"['Distortion Guitar', 'Guitar I']",Intermediate,4/8
30 Seconds to Mars,Welcome To The Universe,,"['Distortion Guitar', 'Rythme Guitar']",Beginner,2/8
Amber Pacific,Everything We Were Has Become What We Are,Track 2,['Distortion Guitar'],Intermediate,4/8
Amber Pacific,For What It's Worth,Lead,['Overdriven Guitar'],Intermediate,3/8
Static Dress,Di-Sinter,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
No Glory No Balls,Change,Track 2,['Distortion Guitar'],Intermediate,3/8
Ozzy Osbourne,That I Never Had,Zakk Wylde,['Overdriven Guitar'],Intermediate,4/8
Presidents Of The United States Of America,Ladies And Gentlemen Part I,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,3/8
Seether,I'm The One,Pat,['Distortion Guitar'],Beginner,2/8
Seether,Fuck It,,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
Seether,69 Tea,,"['Overdriven Guitar', 'Guitar 1']",Beginner,2/8
Seether,Pig,,"['Distortion Guitar', 'Guitar Effects']",Beginner,1/8
Sads,The Life Beyond Desperation,,"['Distortion Guitar', 'Guitar II']",Beginner,2/8
Smile Empty Soul,Bottom Of A Bottle,,"['Electric Guitar (clean)', 'Guitar 1- clean']",Beginner,2/8
Smile Empty Soul,Therapy,Sean,['Distortion Guitar 2'],Beginner,2/8
Sum 41,Angels With Dirty Faces,Deryck,['Distortion Guitar'],Beginner,2/8
Van Halen,Dirty Movies,,"['Electric Guitar (jazz)', 'Guitar 1']",Beginner,2/8
Smashing Pumpkins,Quiet,,"['Distortion Guitar', 'Intro Guitar']",Beginner,2/8
Puddle Of Mudd,Away From Me,,"['Overdriven Guitar', 'Guitar 2']",Beginner,1/8
Puddle Of Mudd,Bring Me Down,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Puddle Of Mudd,Control,,"['Distortion Guitar', 'Guitar 3']",Beginner,2/8
Smashing Pumpkins,Cherry,,"['Electric Guitar (jazz)', 'Guitar 1 (Clean with Stutter and Delay)']",Beginner,1/8
Brandyn Ruesink,Sick,,"['Distortion Guitar', 'Intro Guitar']",Intermediate,3/8
Sads,Spider,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
