,Unnamed: 0,Band,Song,ID_TRACK,POPULARITY,RELEASE_DATE,EXTERNAL_URLS,SEARCH_URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1395,1395,Ronald Mcfondals And The Penetraters,Eon,,,,,,,,,,,,,,,
1396,1396,Ronald Mcfondals And The Penetraters,Bacon Pancakes,,,,,,,,,,,,,,,
1397,1397,Road,Megint Nyár,3Q4hYTLWS2h8Fgwh8GY7Zl,9,2019-07-10,https://open.spotify.com/album/5MqhiM6smAarNcQ8MytuM8,https://p.scdn.co/mp3-preview/ab995de290745108392021af9b77dc1a0e648565?cid=f9d64942f5f74f3282916225d2f77630,0.552,0.974,-2.608,0.0702,0.00194,0,0.374,0.655,98.012,167000
1398,1398,In Flames,I'm The Highway,,,,,,,,,,,,,,,
1399,1399,In Flames,Vacuum,6LgDTMKOxvHkD2UfyeKDbV,27,2006-02-03,https://open.spotify.com/album/3ddOlyyj2YlSk4xbuxsG4S,https://p.scdn.co/mp3-preview/0e72f9e2d90071767eeb6251e4c60d62c856a2b1?cid=f9d64942f5f74f3282916225d2f77630,0.465,0.994,-4.322,0.194,5.4e-06,0.884,0.335,0.0929,110.013,219440
1400,1400,Slipknot,Snuff,3RptaQ5Xb8WvtpItZ2f9Hi,69,2008-08-22,https://open.spotify.com/album/0hFWapnP7orzXCMwNU5DuA,https://p.scdn.co/mp3-preview/c1dfb0fe2e2a8e253d96c0df1c4edc9fc58bb74e?cid=f9d64942f5f74f3282916225d2f77630,0.544,0.69,-5.723,0.0425,0.012,0.0095,0.0615,0.219,123.962,276147
1401,1401,Chevelle,Well Enough Alone,2mMb3id4Cg7iTwz92wPrTu,51,2007-04-03,https://open.spotify.com/album/5FT5oo5IM2hBizZisoPKH3,https://p.scdn.co/mp3-preview/f06ce1b8ed141c03f9f665d544c27bae85511f30?cid=f9d64942f5f74f3282916225d2f77630,0.484,0.879,-4.397,0.0767,0.00024,8.96e-05,0.328,0.286,121.989,258893
1402,1402,Parkway Drive,A Cold Day In Hell,6JGvHHPS7TPzCAE9cHWp0H,33,2006-08-22,https://open.spotify.com/album/7J8yT8vOWAX5OxvSlcJVS1,https://p.scdn.co/mp3-preview/4f6e9534fb179b753f87a74baab5cbe9c74e4d9f?cid=f9d64942f5f74f3282916225d2f77630,0.263,0.958,-3.523,0.127,0.000125,3.09e-06,0.324,0.202,109.487,241613
1403,1403,Chevelle,Saferwaters,6e9s42iBN7bt5QvCvFlVUs,49,2007-04-03,https://open.spotify.com/album/5FT5oo5IM2hBizZisoPKH3,https://p.scdn.co/mp3-preview/9470f9e1715dcb0ed6d95184abc2f3e504d237e4?cid=f9d64942f5f74f3282916225d2f77630,0.435,0.91,-3.222,0.0515,0.00018,1.36e-06,0.141,0.308,131.963,251293
1404,1404,Parkway Drive,Anasasis Xenophontis,7h43QeYBcQIWb2OFcspoPb,38,2006-08-22,https://open.spotify.com/album/7J8yT8vOWAX5OxvSlcJVS1,https://p.scdn.co/mp3-preview/181bc71cdf214f4e969cff6419f36e9efac32dc5?cid=f9d64942f5f74f3282916225d2f77630,0.184,0.963,-3.824,0.102,5.27e-05,0.000415,0.146,0.335,90.605,211393
1405,1405,Chevelle,Antisaint,4eZPq8FQgqsfF3Z1ItuHon,35,2007-04-03,https://open.spotify.com/album/5FT5oo5IM2hBizZisoPKH3,https://p.scdn.co/mp3-preview/a5962bdf36e8d53f806b81e3dc5c52433007456b?cid=f9d64942f5f74f3282916225d2f77630,0.435,0.946,-3.94,0.0874,0.00014,0.00863,0.661,0.432,136.137,261307
1406,1406,A Perfect Circle,Judith,5KDNFlHAdDJ84fhK27c35X,66,2000-01-01,https://open.spotify.com/album/0GeWd0yUKXHbCXVag1mJvO,,0.366,0.894,-4.682,0.0568,3.45e-05,0.17,0.267,0.304,82.305,247267
1407,1407,Linkin Park,Don't Stay,,,,,,,,,,,,,,,
1408,1408,Beautiful Sedativ,A Sharp,,,,,,,,,,,,,,,
1409,1409,Chevelle,Grab Thy Hand,42pNX8mZefuDKb06aFFJ79,37,2002,https://open.spotify.com/album/481JiVXZYUlTtqlv9ewJXV,https://p.scdn.co/mp3-preview/4ca82c882edaf5e2c75f2071e64b1914546cab41?cid=f9d64942f5f74f3282916225d2f77630,0.336,0.905,-3.335,0.0914,0.000565,0.143,0.0783,0.397,144.243,253360
1410,1410,Chevelle,Send The Pain Below,6dRAAG4sB71NAtVCHJep7s,63,2002,https://open.spotify.com/album/481JiVXZYUlTtqlv9ewJXV,https://p.scdn.co/mp3-preview/2d258f9b43a015e8a055cd2a0d0425d023ac014e?cid=f9d64942f5f74f3282916225d2f77630,0.468,0.851,-3.617,0.0398,0.000281,0.00483,0.0644,0.293,92.079,252360
1411,1411,Composers of MSB,A Grain Of Time - The Rule Of Lruht  Viking Klingon,,,,,,,,,,,,,,,
1412,1412,Composers of MSB,Fuck The White House,,,,,,,,,,,,,,,
1413,1413,Composers of MSB,Accordiorganistic 5634,,,,,,,,,,,,,,,
1414,1414,Composers of MSB,Thrazzy,,,,,,,,,,,,,,,
1415,1415,Composers of MSB,Binary Groove,,,,,,,,,,,,,,,
1416,1416,Composers of MSB,In A Stone Casket,,,,,,,,,,,,,,,
1417,1417,Composers of MSB,Christina Aguilera In The Land Of The Inabilitatians,,,,,,,,,,,,,,,
1418,1418,Composers of MSB,Softly,,,,,,,,,,,,,,,
1419,1419,Dreadu,Infinity,,,,,,,,,,,,,,,
1420,1420,Imperial Sodomizers Of Bifara ISOB,Daathh,,,,,,,,,,,,,,,
1421,1421,Ben Koehler,Dont Know What To Call It,,,,,,,,,,,,,,,
1422,1422,Nickelback,See You At The Show,6AJ50ANJtWNuuR81hwRUlY,39,2003-09-23,https://open.spotify.com/album/4fygErqiNgFUic5hU42Z3E,https://p.scdn.co/mp3-preview/00b77d5c3aff17944d686557b4f125e1d92a4686?cid=f9d64942f5f74f3282916225d2f77630,0.519,0.891,-5.395,0.0513,9.72e-05,3.69e-05,0.0692,0.463,144.054,244067
1423,1423,Ozz82,Ss1,,,,,,,,,,,,,,,
1424,1424,Profiction,Grey Shell,,,,,,,,,,,,,,,
1425,1425,Profiction,Denounce Me,,,,,,,,,,,,,,,
1426,1426,Profiction,Through The Eyes,,,,,,,,,,,,,,,
1427,1427,The Rage Inside,The Rage Inside Me,1vqa1OINUdDOfnHDNV8fUF,0,2020-12-01,https://open.spotify.com/album/5ipOMJz9UDqgXwQ1ik3cCa,https://p.scdn.co/mp3-preview/ecbb38f295c3ad01cb4242cd7a79d912fac180c1?cid=f9d64942f5f74f3282916225d2f77630,0.763,0.673,-9.96,0.258,0.823,0.00111,0.514,0.591,97.161,191112
1428,1428,Brandyn Ruesink,Huey,,,,,,,,,,,,,,,
1429,1429,David Soliz,Sangrin Harmonics,,,,,,,,,,,,,,,
1430,1430,Scalpel Velikicirkussum,Oriental Hardcore,,,,,,,,,,,,,,,
1431,1431,Coaltar Of The Deepers,Dead By Dawn,3Rh8qxqGvSuZAEsoB13flM,7,2004-11-26,https://open.spotify.com/album/77nF5MGwJqDa3aP4PvuhW4,https://p.scdn.co/mp3-preview/07b2b9b80a65e5a715f8e96bb5221b8b498a6f5c?cid=f9d64942f5f74f3282916225d2f77630,0.401,0.974,-2.878,0.0872,0.000308,0.729,0.262,0.564,179.878,196427
1432,1432,Chevelle,Family System,1nrBdOAOF6H5qpWfosJUbF,48,2002,https://open.spotify.com/album/481JiVXZYUlTtqlv9ewJXV,https://p.scdn.co/mp3-preview/ba51870e7247ab49aa129c593ca183d977347dba?cid=f9d64942f5f74f3282916225d2f77630,0.428,0.923,-4.121,0.162,0.00221,0.496,0.105,0.0469,140.224,256293
1433,1433,Chevelle,Dont Fake This,2Bcvh4zypRuH0cCTQzuV6B,41,2002,https://open.spotify.com/album/481JiVXZYUlTtqlv9ewJXV,https://p.scdn.co/mp3-preview/d01b257af243c49a0f1b8d372587e3b953b37c37?cid=f9d64942f5f74f3282916225d2f77630,0.498,0.901,-3.7,0.0485,0.00168,0.0111,0.0375,0.392,98.592,219067
1434,1434,Dreadu,Meomries,,,,,,,,,,,,,,,
1435,1435,Evanescence,Imaginary,7q6CybWAg3uYLgS5tDWqmd,54,2003-03-04,https://open.spotify.com/album/02w1xMzzdF2OJxTeh1basm,,0.399,0.747,-5.472,0.031,0.00681,0.00327,0.205,0.278,150.053,256493
1436,1436,Fated Circles,Blackened Angel,,,,,,,,,,,,,,,
1437,1437,Fantomas,Der Golem,0CpunVD94eYsNlyVwS6Yqa,18,2001,https://open.spotify.com/album/4EenSuWRkXoSrsMJEuvfE1,https://p.scdn.co/mp3-preview/21966987e232f8087c5442d8ebd0f4da5f9079d2?cid=f9d64942f5f74f3282916225d2f77630,0.341,0.856,-6.901,0.0949,0.00156,0.758,0.195,0.4,137.63,158533
1438,1438,Nickelback,Not Leavin' Yet,5s6RZkI69b6thgU10IERcJ,27,1999-01-04,https://open.spotify.com/album/3jl1TcvE91Mnu6zjKkklAb,https://p.scdn.co/mp3-preview/93ad7a64eea7b8ccafaa77fd0f4eaf76ee04cc19?cid=f9d64942f5f74f3282916225d2f77630,0.507,0.904,-4.725,0.0622,0.000181,0.000377,0.0828,0.612,107.616,224773
1439,1439,Nickelback,Do This Anymore,6Z51HNeKdACczR3eTl1Jj5,41,2003-09-23,https://open.spotify.com/album/4fygErqiNgFUic5hU42Z3E,https://p.scdn.co/mp3-preview/9c32586a7fae1839c3791208eeed0467dc274b2e?cid=f9d64942f5f74f3282916225d2f77630,0.475,0.929,-4.849,0.0703,0.000617,9.2e-05,0.128,0.382,170.106,243840
1440,1440,Ruger,Pro Lyubov,,,,,,,,,,,,,,,
1441,1441,Slippy,Fate,,,,,,,,,,,,,,,
1442,1442,Slippy,Moan,,,,,,,,,,,,,,,
1443,1443,Theory Of A Deadman,The Last Song,2tgzcDAluqc6TbdpTYFw85,28,2002-01-01,https://open.spotify.com/album/7AzUvy7LiiOVoVTrVKXsas,,0.383,0.691,-6.939,0.0347,0.00136,1.76e-05,0.0999,0.0901,158.052,267867
1444,1444,The Kills,Black Balloon,1HZhNw2xntRsrTuhxyBIve,35,2008-03-18,https://open.spotify.com/album/7ihDlf5F2mikKEskXxgj3z,https://p.scdn.co/mp3-preview/5597b409e6c5963bd5717f1a59d77dcf60632a76?cid=f9d64942f5f74f3282916225d2f77630,0.838,0.443,-7.124,0.0531,0.13,0.0136,0.0742,0.186,118.995,230920
1445,1445,The Kills,Love Is A Deserter,5tT1aeBgz7kbAugGXNQZ7n,28,2005-02-19,https://open.spotify.com/album/1wPUWq21gP0rYhaSBqBaEp,https://p.scdn.co/mp3-preview/beb3d353e76e559c086966c3dc10e6c4d1307355?cid=f9d64942f5f74f3282916225d2f77630,0.584,0.927,-5.674,0.0775,0.627,0.517,0.177,0.639,134.804,228720
